"";"tidydata1$Subject";"tidydata1$Activity";"tidydata1[, 1]"
"1";1;"LAYING";0,22159824394
"2";2;"LAYING";0,281373403958333
"3";3;"LAYING";0,275516852741935
"4";4;"LAYING";0,263559214981481
"5";5;"LAYING";0,278334325576923
"6";6;"LAYING";0,248656520140351
"7";7;"LAYING";0,250176694038462
"8";8;"LAYING";0,261254282907407
"9";9;"LAYING";0,2591955368
"10";10;"LAYING";0,280230574137931
"11";11;"LAYING";0,280592970877193
"12";12;"LAYING";0,260113433
"13";13;"LAYING";0,276716360483871
"14";14;"LAYING";0,233275439803922
"15";15;"LAYING";0,2894756525
"16";16;"LAYING";0,274227162571429
"17";17;"LAYING";0,269780085577465
"18";18;"LAYING";0,274691576923077
"19";19;"LAYING";0,272653733493976
"20";20;"LAYING";0,239507882205882
"21";21;"LAYING";0,271325472455556
"22";22;"LAYING";0,279959721194444
"23";23;"LAYING";0,274038007986111
"24";24;"LAYING";0,272850494930556
"25";25;"LAYING";0,250791828613699
"26";26;"LAYING";0,271645864540789
"27";27;"LAYING";0,274102492432432
"28";28;"LAYING";0,2759134825
"29";29;"LAYING";0,287295196811594
"30";30;"LAYING";0,281033900571429
"31";1;"SITTING";0,261237565425532
"32";2;"SITTING";0,27708735173913
"33";3;"SITTING";0,257197599134615
"34";4;"SITTING";0,27153827992
"35";5;"SITTING";0,273694139545455
"36";6;"SITTING";0,276778487454545
"37";7;"SITTING";0,284674637291667
"38";8;"SITTING";0,267491472934783
"39";9;"SITTING";0,24832674354
"40";10;"SITTING";0,270612056481481
"41";11;"SITTING";0,276590197358491
"42";12;"SITTING";0,275007224901961
"43";13;"SITTING";0,274328499591837
"44";14;"SITTING";0,279990577037037
"45";15;"SITTING";0,27290337979661
"46";16;"SITTING";0,280768574492754
"47";17;"SITTING";0,2773570196875
"48";18;"SITTING";0,27727001877193
"49";19;"SITTING";0,273830316164384
"50";20;"SITTING";0,278045439090909
"51";21;"SITTING";0,277539616823529
"52";22;"SITTING";0,273583822709677
"53";23;"SITTING";0,273351251617647
"54";24;"SITTING";0,273475690147059
"55";25;"SITTING";0,278541482461538
